m23s0001 0 100 50
m23s0002 1 99 64
m23s0003 2 98 52
m23s0004 3 97 92
m23s0005 4 96 64
m23s0006 5 95 62
m23s0007 6 94 38
m23s0008 7 93 61
m23s0009 8 92 59
m23s0010 9 91 35
m23s0011 10 90 95
m23s0012 11 89 14
m23s0013 12 88 98
m23s0014 13 87 5
m23s0015 14 86 26
m23s0016 15 85 74
m23s0017 16 84 52
m23s0018 17 83 31
m23s0019 18 82 66
m23s0020 19 81 55
m23s0021 20 80 11
m23s0022 21 79 23
m23s0023 22 78 68
m23s0024 23 77 49
m23s0025 24 76 25
m23s0026 25 75 75
m23s0027 26 74 91
m23s0028 27 73 54
m23s0029 28 72 35
m23s0030 29 71 81
m23s0031 30 70 65
m23s0032 31 69 65
m23s0033 32 68 15
m23s0034 33 67 64
m23s0035 34 66 2
m23s0036 35 65 58
m23s0037 36 64 30
m23s0038 37 63 65
m23s0039 38 62 81
m23s0040 39 61 64
m23s0041 40 60 24
m23s0042 41 59 96
m23s0043 42 58 15
m23s0044 43 57 61
m23s0045 44 56 94
m23s0046 45 55 31
m23s0047 46 54 18
m23s0048 47 53 61
